,Location ID,City Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
0,LOC_1,Chennai Royapettah,Nails n Beyond,"No 114, 1st Floor, Cathedral Rd, Gopalapuram, Chennai, Tamil Nadu 600086, India",13.0475631,80.2543567,4.8,373,ChIJu_BEcNhnUjoR1nBoaKnbQU8,https://www.google.com/maps/place/?q=place_id:ChIJu_BEcNhnUjoR1nBoaKnbQU8,Chennai Royapettah Nails n Beyond
1,LOC_2,Chennai Royapettah,Nails 'n Beyond,"Shop No. B1, 27 Express Mall.2, Club House Road, Anna Salai, Chennai, Tamil Nadu 600002, India",13.0589114,80.2645284,5.0,4,ChIJmzVJsNpnUjoRO-VbI3aMgn0,https://www.google.com/maps/place/?q=place_id:ChIJmzVJsNpnUjoRO-VbI3aMgn0,Chennai Royapettah Nails 'n Beyond
2,LOC_1,Chennai Velachery,Nails 'n Beyond,"142 Phoenix Market City, Road, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.9927089,80.21727,4.9,355,ChIJCbZckZlnUjoRBp3RFB6IV-E,https://www.google.com/maps/place/?q=place_id:ChIJCbZckZlnUjoRBp3RFB6IV-E,Chennai Velachery Nails 'n Beyond
4,LOC_2,Chennai Nungambakkam,Nails N Beyond,"3rd Floor, Ispahani Centre, 123 & 124, Nungambakkam High Rd, Thousand Lights, Chennai, Tamil Nadu 600034, India",13.0583989,80.24814169999999,2.3,3,ChIJGQF0CEJmUjoRdH35zqWvIeM,https://www.google.com/maps/place/?q=place_id:ChIJGQF0CEJmUjoRdH35zqWvIeM,Chennai Nungambakkam Nails N Beyond
5,LOC_1,Chennai Anna Nagar West,Nails 'n Beyond,"No S68, 2nd Floor, VR Chennai, Anna Nagar West, Chennai, Tamil Nadu 600040, India",13.0805243,80.1971323,4.7,276,ChIJWXplDnFlUjoR89bQNddfMSU,https://www.google.com/maps/place/?q=place_id:ChIJWXplDnFlUjoR89bQNddfMSU,Chennai Anna Nagar West Nails 'n Beyond
7,LOC_2,Chennai Alwarpet,Nails 'n Beyond,"No 66, Oxford Center, CP Ramaswamy Iyer Rd, Subbaraya Avenue, Vidhya Thirtha Nagar, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0296206,80.2563609,0.0,0,ChIJmVgJR7JnUjoRbTrUS3feKjs,https://www.google.com/maps/place/?q=place_id:ChIJmVgJR7JnUjoRbTrUS3feKjs,Chennai Alwarpet Nails 'n Beyond
10,LOC_1,Coimbatore ,Nails 'n Beyond,"Coimbatore International Airport, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641014, India",11.0305023,77.0388497,4.9,168,ChIJKWj4tF5XqDsRit2Pu1lj4qc,https://www.google.com/maps/place/?q=place_id:ChIJKWj4tF5XqDsRit2Pu1lj4qc,Coimbatore  Nails 'n Beyond
11,LOC_2,Coimbatore ,Nails 'n Beyond,"2nd floor, Dr Krishnasamy Mudaliyar Rd, Brookefields, Sukrawar Pettai, Ram Nagar, Coimbatore, Tamil Nadu 641001, India",11.0084308,76.9596031,4.9,207,ChIJY90jRy5ZqDsRT9N4d87W9to,https://www.google.com/maps/place/?q=place_id:ChIJY90jRy5ZqDsRT9N4d87W9to,Coimbatore  Nails 'n Beyond
12,LOC_3,Coimbatore ,Nails 'n Beyond,"No 201, Prozone Mall, Sathy Rd, Saravanampatti, Siranandha Puram, Coimbatore, Tamil Nadu 641035, India",11.0570873,76.9944702,4.6,22,ChIJw5RiJz1ZqDsRJ8iX10Y9LTs,https://www.google.com/maps/place/?q=place_id:ChIJw5RiJz1ZqDsRJ8iX10Y9LTs,Coimbatore  Nails 'n Beyond
21,LOC_3,Kanchipuram ,Nails 'n Beyond,"No 21A, 2nd Floor, The Marina Mall, Egattur, Tamil Nadu 603103, India",12.8360424,80.22954779999999,4.8,160,ChIJVafVAUFbUjoRl9Y7PEjQN1U,https://www.google.com/maps/place/?q=place_id:ChIJVafVAUFbUjoRl9Y7PEjQN1U,Kanchipuram  Nails 'n Beyond
