,Unnamed: 0,Location ID,City Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,Nearby Flag,Nearby Salon Address,Distance to Nearby Salon (km)
0,0,LOC_1,Alwarpet,"Naturals Salon & Spa CP Ramaswamy road , Alwarpet in Chennai","No.37, 1st Floor, CP Ramaswamy Iyer Rd, opp. to Nilgiris, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0325117,80.2569712,4.6,1078,ChIJB0quoslnUjoRf_vm8BiGHsM,https://www.google.com/maps/place/?q=place_id:ChIJB0quoslnUjoRf_vm8BiGHsM,Yes,"No: 24-25, Venkatakrishna Rd, above Spencer's Daily, Perumal Koil Thottam, Ramakrishna Nagar, Mandaveli, Chennai, Tamil Nadu 600028, India",0.8
1,1,LOC_2,Alwarpet,Naturals Lounge TTK,"No.220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr.Agarwals Eye Hospital, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0436909,80.2594781,4.6,656,ChIJfwi_pjZmUjoRtNJzL20D2-A,https://www.google.com/maps/place/?q=place_id:ChIJfwi_pjZmUjoRtNJzL20D2-A,Yes,"No 220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr Agarwals Eye Hospital, Parthasarathypuram, Alwarpet, Chennai, Tamil Nadu 600018, India",0.01
2,2,LOC_3,Alwarpet,Naturals Signature Salon,"No: 24-25, Venkatakrishna Rd, above Spencer's Daily, Perumal Koil Thottam, Ramakrishna Nagar, Mandaveli, Chennai, Tamil Nadu 600028, India",13.0267594,80.26140099999999,4.8,2818,ChIJT8VLUspnUjoRa_HrTUzVpa4,https://www.google.com/maps/place/?q=place_id:ChIJT8VLUspnUjoRa_HrTUzVpa4,Yes,"No.37, 1st Floor, CP Ramaswamy Iyer Rd, opp. to Nilgiris, Alwarpet, Chennai, Tamil Nadu 600018, India",0.8
3,3,LOC_4,Alwarpet,Naturals Salon,"No 220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr Agarwals Eye Hospital, Parthasarathypuram, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0436178,80.2594846,5.0,1,ChIJ1cEdFYpnUjoRBTQevSN3-mU,https://www.google.com/maps/place/?q=place_id:ChIJ1cEdFYpnUjoRBTQevSN3-mU,Yes,"No.220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr.Agarwals Eye Hospital, Alwarpet, Chennai, Tamil Nadu 600018, India",0.01
4,8,LOC_1,"Adambakkam, Brindavan Nagar",Naturals Salon,"N37 First Flr, 2nd Street Shawalace Col, Brindavan Nagar, Adambakkam, Chennai, Tamil Nadu 600088, India",12.9865709,80.2051812,4.9,352,ChIJD93nXvxdUjoRinIO5qSoRrc,https://www.google.com/maps/place/?q=place_id:ChIJD93nXvxdUjoRinIO5qSoRrc,No,None,0.0
5,9,LOC_2,"Adambakkam, Brindavan Nagar",Naturals Salon,"No.16A/17, Secretariat Colony Main Road, City Link Road, above Easyday Club, Adambakkam, Chennai, Tamil Nadu 600088, India",12.9973019,80.2072451,4.6,1363,ChIJP8-7AF1nUjoR3_YHwKTtq28,https://www.google.com/maps/place/?q=place_id:ChIJP8-7AF1nUjoR3_YHwKTtq28,No,None,0.0
6,11,LOC_1,Adyar,Naturals Salon,"Ground Floor, Ceebros Enclave, No. 31, 1st Main Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020, India",13.007167,80.2516004,4.2,802,ChIJT28vgJNnUjoRiPj-mGCrlOA,https://www.google.com/maps/place/?q=place_id:ChIJT28vgJNnUjoRiPj-mGCrlOA,Yes,"1st Floor, 55, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020, India",0.92
7,12,LOC_2,Adyar,Naturals Salon,"1st Floor, 55, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020, India",12.9988889,80.2518418,4.5,986,ChIJUVZIAY1nUjoRXhgyHIOnkjg,https://www.google.com/maps/place/?q=place_id:ChIJUVZIAY1nUjoRXhgyHIOnkjg,Yes,"Ground Floor, Ceebros Enclave, No. 31, 1st Main Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020, India",0.92
8,13,LOC_1,Agaramthen Road,Naturals Signature Salon,"No: G-38,No: 142 ,Lower Ground Floor, Velachery Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.9929627,80.2184516,4.8,2309,ChIJ6aCWRmJnUjoRRmaT-wCYdLE,https://www.google.com/maps/place/?q=place_id:ChIJ6aCWRmJnUjoRRmaT-wCYdLE,Yes,"2nd Floor, Landmark Heavens Sampoorna, No 31, 100 Feet Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",0.36
9,16,LOC_4,Agaramthen Road,Naturals Salon W - Women's Exclusive,"2nd Floor, Landmark Heavens Sampoorna, No 31, 100 Feet Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.9912653,80.21566969999999,4.7,922,ChIJ5_3KjWJnUjoRdvf4SUXOpac,https://www.google.com/maps/place/?q=place_id:ChIJ5_3KjWJnUjoRdvf4SUXOpac,Yes,"No: G-38,No: 142 ,Lower Ground Floor, Velachery Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",0.36
